"","mean1","lower1","upper1"
"1",4.61003301643995,2.52034794851965,7.32020422508888
"2",4.99691566270999,3.26415121147961,7.09272427810122
"3",3.4908743679428,2.33789335138371,4.87131005467222
"4",3.05149561356221,2.18980593662118,4.05392286066503
"5",2.63263086125046,1.97202116980045,3.38720653307688
"6",2.36572370806236,1.82581561305969,2.97449980134624
"7",1.87770370206448,1.46096555889363,2.34593777981158
"8",1.51469386751938,1.18515466491894,1.88404437486035
"9",1.20068194233279,0.934202218915085,1.50009031081908
"10",1.07099502074907,0.833298053010507,1.33806397591
"11",0.987183601439636,0.765053731709884,1.23719422014827
"12",0.904541869516019,0.693507064629834,1.14318119723886
"13",0.735929792733066,0.546221277028692,0.953479449912206
"14",0.78904757780879,0.589298471867209,1.01750084738018
"15",0.850877014576644,0.635475652595513,1.0972317863928
"16",0.882042625607949,0.652539990138342,1.14559401327539
"17",0.932855000899903,0.690131265105427,1.21158895642753
"18",0.785716920747116,0.561327687612655,1.0472483737725
"19",0.667840481332221,0.459710658040041,0.914222055170894
"20",0.706757041059893,0.486499027090947,0.96749582070161
"21",0.576531716310393,0.36939474918547,0.829035621864531
"22",0.493217600303062,0.292312008437991,0.745817537002114
"23",0.377497921931233,0.195058684860097,0.619160719845166
"24",0.306767552654257,0.132440455517458,0.553051102929537
"25",0.350906879510227,0.14108276517396,0.654665611040987
"26",0.490036918420885,0.197020256726342,0.914232058027521
"27",0.298608240115394,0.0615801979421034,0.719117089947481
"28",0.393984897239882,0.0812491575880677,0.948805942786156
"29",0.172015754862892,0.00435506185189138,0.634545383897622
